,Index,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year,Google_Rate,Google_Habs,Google_Location,Google_Service,Trip_Rate,Trip_Location,Trip_Cleanliness,Trip_Service,Trip_Value
63,47,Taj Lake Palace,Udaipur,India,Southeast Asia,India Hotels Company Limited,96.92,47,83,Small,Palace,1743,18,0.0,0.0,2022,4.7,4.3,4.8,4.7,5.0,4.9,4.9,4.9,4.5
64,48,Taj Falaknuma Palace,Hyderabad,India,Southeast Asia,India Hotels Company Limited,96.92,47,60,Small,Palace,1894,19,0.0,0.0,2022,4.6,4.5,4.5,4.8,4.5,4.6,4.9,4.8,4.5
65,49,Alila Villas Uluwatu,Bali,Indonesia,Southeast Asia,Hyatt,96.88,49,67,Small,Coastal,2009,21,0.0,0.0,2022,4.8,4.7,5.0,4.6,4.5,4.5,4.8,4.8,4.4
66,50,Manoir Hovey,North Hatley,Canada,North America,Stafford family,96.83,50,36,Small,Manor,1900,20,1.0,23.0,2022,4.7,4.0,4.7,4.7,4.5,4.9,4.8,4.8,4.4
67,124,Manoir Hovey,North Hatley,Canada,North America,Relais & Châteaux ,98.48,23,36,Small,Coastal,1900,20,0.0,0.0,2021,4.7,4.0,4.7,4.7,4.5,4.9,4.8,4.8,4.4
68,51,Six Senses Con Dao,Con Dao,Vietnam,Southeast Asia,InterContinental Hotels Group,96.8,51,50,Small,Beachfront,2010,21,0.0,0.0,2022,4.7,4.4,4.8,4.4,4.5,4.8,4.7,4.7,4.2
69,52,Cavas Wine Lodge,Mendoza,Argentina,Latin America,Relais & Chateaux,96.8,51,18,Small,Countryside,2005,21,0.0,0.0,2022,4.7,0.0,0.0,0.0,5.0,4.8,4.7,4.8,4.4
70,53,Grand Hotel Tremezzo,Tremezzina,Italy,Europe,De Santis family,96.8,53,92,Small,Palace,1910,20,0.0,0.0,2022,4.7,4.0,4.8,4.2,5.0,4.9,4.9,4.8,4.2
71,54,Nayara Springs,San Carlos,Costa Rica,Latin America,Nayara Resorts,96.79,54,16,Small,Nature,2013,21,0.0,0.0,2022,4.9,0.0,0.0,0.0,5.0,4.9,5.0,4.9,4.8
72,55,Lodge on Little St. Simons Island,St Simons Island,United States,North America,Paulson family,96.76,55,16,Small,Lodge,1928,20,0.0,0.0,2022,4.8,0.0,0.0,0.0,5.0,4.9,4.8,4.9,4.5
73,56,Rancho Santana,Tola,Nicaragua,Latin America,Tola Development Group,96.75,56,17,Small,Coastal,2015,21,0.0,0.0,2022,4.7,4.2,4.1,4.2,5.0,4.8,4.9,4.8,4.7
74,57,Amanpuri,Phuket,Thailand,Southeast Asia,Aman Group Sarl,96.67,57,72,Small,Beachfront,1987,20,0.0,0.0,2022,4.7,4.1,4.6,4.8,4.5,4.8,4.8,4.6,4.0
75,58,Mandarin Oriental Marrakech,Marrakech,Morocco,Africa,Jardine Matheson,96.67,57,63,Small,Palace,2015,21,0.0,0.0,2022,4.6,4.4,4.6,4.7,5.0,4.7,4.9,4.8,4.5
76,59,Namale Resort & Spa,Savusavu,Fiji,Oceania,Tony Robbins,96.64,59,19,Small,Nature,1967,20,0.0,0.0,2022,4.5,0.0,0.0,0.0,5.0,4.8,4.8,4.9,4.5
77,60,Gibb's Farm,Karatu,Tanzania,Africa,Rick and Judi,96.63,60,21,Small,Lodge,1929,20,1.0,53.0,2022,4.7,0.0,0.0,0.0,5.0,4.7,4.9,4.8,4.5
78,154,Gibb's Farm,Karatu,Tanzania,Africa,Rick and Judi,97.63,53,21,Small,Nature,1929,20,0.0,0.0,2021,4.7,0.0,0.0,0.0,5.0,4.7,4.9,4.8,4.5
79,61,Jade Mountain,Soufrière,St. Lucia,Caribbean,Nick and Karolin Troubetzkoy,96.63,61,79,Small,Nature,2006,21,1.0,78.0,2022,4.7,4.8,4.2,4.9,5.0,4.8,4.9,4.8,4.2
80,179,Jade Mountain,Soufrière,St. Lucia,Caribbean,Nick Troubetzkoy,97.1,78,79,Small,Nature,2006,21,0.0,0.0,2021,4.7,4.8,4.2,4.9,5.0,4.8,4.9,4.8,4.2
81,62,Borgo Egnazia,Fasano,Italy,Europe,Aldo Melpignano,96.6,62,185,Medium,Mediterranean ,2009,21,0.0,0.0,2022,4.7,4.1,4.4,4.0,4.5,4.3,4.9,4.5,4.0
82,63,Four Seasons Hotel Kyoto,Kyoto,Japan,Asia,Four Seasons,96.57,63,123,Small,Contemporary ,2016,21,0.0,0.0,2022,4.6,0.0,0.0,0.0,4.5,4.5,4.8,4.5,4.0
83,64,San Ysidro Ranch,Santa Barbara,United States,North America,Ty Warner,96.57,63,41,Small,Countryside,1893,19,0.0,0.0,2022,4.6,5.0,4.8,0.0,4.5,4.9,4.9,4.7,4.0
84,65,The Goring,London,England,Europe,The Goring Family,96.55,65,69,Small,Palace,1910,20,1.0,56.0,2022,4.6,3.2,5.0,4.7,5.0,4.8,4.9,4.8,4.4
85,157,The Goring,London,England,Europe,The Goring Family,97.57,56,69,Small,Palace,1910,20,0.0,0.0,2021,4.6,3.2,5.0,4.7,5.0,4.8,4.9,4.8,4.4
86,66,The Oberoi Rajvilas,Jaipur,India,Southeast Asia,The Oberoi Group,96.52,66,54,Small,Palace,1997,20,1.0,51.0,2022,4.6,4.8,3.8,4.6,5.0,4.5,4.9,4.9,4.6
87,152,The Oberoi Rajvilas,Jaipur,India,Southeast Asia,The Oberoi Group,97.66,51,54,Small,Palace,1997,20,0.0,0.0,2021,4.6,4.8,3.8,4.6,5.0,4.5,4.9,4.9,4.6
