,Index,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year
149,150,Sumaq Machu Picchu Hotel,Aguas Calientes,Peru,Latin America,Clabe Andina,97.68,49,62,Small,Nature,2007,21,0.0,0.0,2021
150,151,Las Ventanas al Paraíso,San José del Cabo,Mexico,Latin America,Rosewood Hotel Group ,97.68,50,83,Small,Coastal,1997,20,0.0,0.0,2021
151,152,The Oberoi Rajvilas,Jaipur,India,Southeast Asia,The Oberoi Group,97.66,51,54,Small,Palace,1997,20,0.0,0.0,2021
152,153,Viceroy Chicago,Chicago,United States,North America,Viceroy Hotel Group ,97.66,51,180,Medium,Contemporary ,2017,21,0.0,0.0,2021
153,154,Gibb's Farm,Karatu,Tanzania,Africa,Rick and Judi,97.63,53,21,Small,Nature,1929,20,0.0,0.0,2021
154,155,Singita Grumeti,Serengeti National Park,Tanzania,Africa,"Paul Tudor Jones, Luke Bailes",97.6,54,15,Small,Safari,2013,21,0.0,0.0,2021
155,156,Four Seasons Bangkok,Bangkok,Thailand,Southeast Asia,Four Seasons,97.59,55,299,Medium,Contemporary ,2020,21,0.0,0.0,2021
156,157,The Goring,London,England,Europe,The Goring Family,97.57,56,69,Small,Palace,1910,20,0.0,0.0,2021
157,158,The Lodge & Spa at Brush Creek Ranch,Wyoming,United States,North America,Bruce and Beth White,97.56,57,44,Small,Nature,2010,21,0.0,0.0,2021
158,159,Taj Palace,New Delhi,India,Southeast Asia,India Hotels Company Limited,97.56,57,403,Big,Palace,1903,20,0.0,0.0,2021
159,160,St. Regis Florence,Florence,Italy,Europe,Marriott International,97.52,59,99,Small,Palace,1855,19,0.0,0.0,2021
160,161,Mandarin Oriental Paris,Paris,France,Europe,Jardine Matheson,97.5,60,135,Small,Contemporary ,2011,21,0.0,0.0,2021
161,162,Matetsi Victoria Falls,Matetsi,Zimbabwe,Africa,John Gardiner,97.5,60,18,Small,Safari,2016,21,0.0,0.0,2021
162,163,Round Hill Hotel and Villas,Montego Bay,Jamaica,Caribbean,Ralph Lauren,97.49,62,36,Small,Coastal,1952,20,0.0,0.0,2021
163,164,Khwai River Lodge,Moremi Game Reserve,Botswana,Africa,LVMH,97.47,63,15,Small,Safari,1971,20,0.0,0.0,2021
164,165,Soneva Jani,Noonu Atoll,Maldives,Southeast Asia,Soneva,97.45,64,24,Small,Island,2016,21,0.0,0.0,2021
165,166,The Oberoi Amarvilas,Agra,India,Southeast Asia,The Oberoi Group,97.44,65,102,Small,Palace,2000,21,0.0,0.0,2021
166,167,Inn of the Five Graces,Santa Fe,United States,North America,Relais & Châteaux,97.41,66,25,Small,Contemporary ,1996,20,0.0,0.0,2021
167,168,"Zadun, a Ritz-Carlton Reserve",San José del Cabo,Mexico,Latin America,Marriott International,97.41,66,115,Small,Coastal,2019,21,0.0,0.0,2021
168,169,Mfuwe Lodge,South Luangwa National Park,Zambia,Africa,The Bushcamp Company,97.33,68,18,Small,Safari,1956,20,0.0,0.0,2021
169,170,InterContinental Bora Bora Resort & Thalasso Spa,Bora Bora,French Polynesia,Oceania,InterContinental Hotels Group,97.33,68,84,Small,Island,2006,21,0.0,0.0,2021
170,171,Banyan Tree Cabo Marqués,Acapulco,Mexico,Latin America,Banyan Tree Holdings Limited,97.3,70,45,Small,Coastal,2009,21,0.0,0.0,2021
171,172,Ngala Safari Lodge,Kruger National Park Area,South Africa,Africa,andBeyond,97.26,71,20,Small,Safari,2020,21,0.0,0.0,2021
172,173,Sasaab,Samburu,Kenya,Africa,The Safari Collection,97.26,71,9,Small,Safari,2007,21,0.0,0.0,2021
173,174,The Sukhothai Bangkok,Bangkok,Thailand,Southeast Asia,HKR International,97.25,73,210,Medium,Palace,1991,20,0.0,0.0,2021
174,175,The Oberoi Grand,Kolkata,India,Southeast Asia,The Oberoi Group,97.2,74,209,Medium,Palace,1890,19,0.0,0.0,2021
175,176,Hôtel Plaza Athénée,Paris,France,Europe,Brunei Investment Agency,97.18,75,154,Medium,Palace,1913,20,0.0,0.0,2021
176,177,Mahekal Beach Resort,Playa del Carmen,Mexico,Latin America,Mahekal Beach Resort,97.12,76,196,Medium,Coastal,1982,20,0.0,0.0,2021
177,178,The Fullerton Hotel Singapore,Singapore,Singapore,Southeast Asia,Precious Treasure Pte,97.11,77,400,Big,Palace,2001,21,0.0,0.0,2021
178,179,Jade Mountain,Soufrière,St. Lucia,Caribbean,Nick Troubetzkoy,97.1,78,79,Small,Nature,2006,21,0.0,0.0,2021
179,180,Casa Chameleon,Las Catalinas,Costa Rica,Caribbean,Nolan Reynolds International,97.05,79,21,Small,Coastal,2020,21,0.0,0.0,2021
180,181,Hôtel Crillon Le Brave,Crillon-le-Brave,France,Europe,Maisons Pariente,97.0,80,34,Small,Nature,1988,20,0.0,0.0,2021
181,182,Le Bristol Paris,Paris,France,Europe,Oetker Collection,97.0,80,190,Medium,Palace,1925,20,0.0,0.0,2021
182,183,"Mandapa, a Ritz-Carlton Reserve",Bali,Indonesia,Southeast Asia,Marriott International,97.0,80,60,Small,Nature,2015,21,0.0,0.0,2021
183,184,Six Senses Laamu,Laamu Atoll,Maldives,Southeast Asia,Hotel Properties Limited,97.0,80,97,Small,Island,2011,21,0.0,0.0,2021
184,185,Waldorf Astoria Maldives Ithaafushi,Ithaafushi Island,Maldives,Southeast Asia,Hilton,97.0,80,119,Small,Island,2019,21,0.0,0.0,2021
185,186,The Wickaninnish Inn,British Columbia,Canada,North America,Wickaninnish Inn Ltd,97.0,80,75,Small,Coastal,1996,20,0.0,0.0,2021
186,187,Penha Longa Resort,Sintra,Portugal,Europe,Marriott International,96.94,86,44,Small,Nature,1993,20,0.0,0.0,2021
187,188,The St. Regis Bora Bora Resort,Bora Bora,French Polynesia,Oceania,Marriott International,96.89,87,90,Small,Island,2006,21,0.0,0.0,2021
188,189,Lion Sands Game Reserve,Sabi Sand Game Reserve ,South Africa,Africa,MORE Family Collection,96.87,88,18,Small,Safari,1933,20,0.0,0.0,2021
189,190,Rambagh Palace,Jaipur,India,Southeast Asia,India Hotels Company Limited,96.87,88,78,Small,Palace,1835,19,0.0,0.0,2021
190,191,The Oyster Box,Umhlanga,South Africa,Africa,The Travel Corporation,96.85,90,86,Small,Coastal,1947,20,0.0,0.0,2021
191,192,The Stafford,London,England,Europe,Britannia Hospitality Limited,96.75,91,107,Small,Contemporary ,1912,20,0.0,0.0,2021
